Date,ParkID,VisitingTeam,HomeTeam,awr,hmr
20140322,SYD01,LAN,ARI,3,1
20140323,SYD01,LAN,ARI,7,5
20140330,SAN02,LAN,SDN,1,3
20140331,ANA01,SEA,ANA,10,3
20140331,BAL12,BOS,BAL,1,2
20140331,CHI12,MIN,CHA,3,5
20140331,DET05,KCA,DET,3,4
20140331,OAK01,CLE,OAK,2,0
20140331,STP01,TOR,TBA,2,9
20140331,ARL02,PHI,TEX,14,10
20140331,PHO01,SFN,ARI,9,8
20140331,CIN09,SLN,CIN,1,0
20140331,MIA02,COL,MIA,1,10
20140331,MIL06,ATL,MIL,0,2
20140331,NYC20,WAS,NYN,9,7
20140331,PIT08,CHN,PIT,0,1
20140401,ANA01,SEA,ANA,8,3
20140401,HOU03,NYA,HOU,2,6
20140401,STP01,TOR,TBA,4,2
20140401,ARL02,PHI,TEX,2,3
20140401,PHO01,SFN,ARI,4,5
20140401,MIA02,COL,MIA,3,4
20140401,MIL06,ATL,MIL,5,2
20140401,SAN02,LAN,SDN,3,2
20140402,ANA01,SEA,ANA,8,2
20140402,BAL12,BOS,BAL,6,2
20140402,CHI12,MIN,CHA,6,7
20140402,DET05,KCA,DET,1,2
20140402,HOU03,NYA,HOU,1,3
20140402,OAK01,CLE,OAK,1,6
20140402,OAK01,CLE,OAK,6,4
20140402,STP01,TOR,TBA,3,0
20140402,ARL02,PHI,TEX,3,4
20140402,PHO01,SFN,ARI,2,0
20140402,CIN09,SLN,CIN,0,1
20140402,MIA02,COL,MIA,6,5
20140402,MIL06,ATL,MIL,1,0
20140402,NYC20,WAS,NYN,5,1
20140402,PIT08,CHN,PIT,3,4
20140402,SAN02,LAN,SDN,5,1
20140403,BAL12,BOS,BAL,4,3
20140403,CHI12,MIN,CHA,10,9
20140403,HOU03,NYA,HOU,4,2
20140403,OAK01,SEA,OAK,2,3
20140403,STP01,TOR,TBA,2,7
20140403,PHO01,SFN,ARI,8,5
20140403,CIN09,SLN,CIN,7,6
20140403,MIA02,COL,MIA,5,8
20140403,NYC20,WAS,NYN,8,2
20140403,PIT08,CHN,PIT,3,2
20140404,BOS07,MIL,BOS,6,2
20140404,CLE08,MIN,CLE,2,7
20140404,DET05,BAL,DET,4,10
20140404,HOU03,ANA,HOU,11,1
20140404,KAN06,CHA,KCA,5,7
20140404,STP01,TEX,TBA,1,8
20140404,TOR02,NYA,TOR,7,3
20140404,CHI11,PHI,CHN,7,2
20140404,DEN02,ARI,COL,2,12
20140404,LOS03,SFN,LAN,8,4
20140404,MIA02,SDN,MIA,2,8
20140404,NYC20,CIN,NYN,3,4
20140404,PIT08,SLN,PIT,2,12
20140404,WAS11,ATL,WAS,2,1
20140405,BOS07,MIL,BOS,7,6
20140405,CLE08,MIN,CLE,7,3
20140405,DET05,BAL,DET,6,7
20140405,HOU03,ANA,HOU,5,1
20140405,KAN06,CHA,KCA,3,4
20140405,OAK01,SEA,OAK,3,1
20140405,STP01,TEX,TBA,4,5
20140405,TOR02,NYA,TOR,0,4
20140405,CHI11,PHI,CHN,2,0
20140405,DEN02,ARI,COL,4,9
20140405,LOS03,SFN,LAN,7,2
20140405,MIA02,SDN,MIA,0,5
20140405,NYC20,CIN,NYN,3,6
20140405,PIT08,SLN,PIT,6,1
20140405,WAS11,ATL,WAS,6,2
20140406,BOS07,MIL,BOS,4,0
20140406,CLE08,MIN,CLE,10,7
20140406,DET05,BAL,DET,3,1
20140406,HOU03,ANA,HOU,4,7
20140406,KAN06,CHA,KCA,5,1
20140406,OAK01,SEA,OAK,3,6
20140406,STP01,TEX,TBA,3,0
20140406,TOR02,NYA,TOR,6,4
20140406,CHI11,PHI,CHN,3,8
20140406,DEN02,ARI,COL,5,3
20140406,LOS03,SFN,LAN,2,6
20140406,MIA02,SDN,MIA,4,2
20140406,NYC20,CIN,NYN,2,1
20140406,PIT08,SLN,PIT,1,2
20140406,WAS11,ATL,WAS,1,2
20140407,BOS07,TEX,BOS,1,5
20140407,HOU03,ANA,HOU,9,1
20140407,KAN06,TBA,KCA,2,4
20140407,MIN04,OAK,MIN,8,3
20140407,NYC21,BAL,NYA,2,4
20140407,DEN02,CHA,COL,1,8
20140407,STL10,CIN,SLN,3,5
20140408,BOS07,TEX,BOS,10,7
20140408,CLE08,SDN,CLE,6,8
20140408,KAN06,TBA,KCA,1,0
20140408,NYC21,BAL,NYA,14,5
20140408,SEA03,ANA,SEA,3,5
20140408,TOR02,HOU,TOR,2,5
20140408,ATL02,NYN,ATL,4,0
20140408,CHI11,PIT,CHN,7,6
20140408,DEN02,CHA,COL,15,3
20140408,LOS03,DET,LAN,2,3
20140408,PHI13,MIL,PHI,10,4
20140408,SFO03,ARI,SFN,3,7
20140408,STL10,CIN,SLN,5,7
20140408,WAS11,MIA,WAS,0,5
20140409,BOS07,TEX,BOS,2,4
20140409,CLE08,SDN,CLE,0,2
20140409,CLE08,SDN,CLE,2,1
20140409,KAN06,TBA,KCA,3,7
20140409,MIN04,OAK,MIN,7,4
20140409,NYC21,BAL,NYA,5,4
20140409,SEA03,ANA,SEA,2,0
20140409,TOR02,HOU,TOR,3,7
20140409,ATL02,NYN,ATL,3,4
20140409,CHI11,PIT,CHN,5,7
20140409,DEN02,CHA,COL,4,10
20140409,LOS03,DET,LAN,7,6
20140409,PHI13,MIL,PHI,9,4
20140409,SFO03,ARI,SFN,7,3
20140409,STL10,CIN,SLN,4,0
20140409,WAS11,MIA,WAS,7,10
20140410,CHI12,CLE,CHA,3,7
20140410,MIN04,OAK,MIN,6,1
20140410,NYC21,BOS,NYA,1,4
20140410,TOR02,HOU,TOR,6,4
20140410,ATL02,NYN,ATL,6,4
20140410,CHI11,PIT,CHN,5,4
20140410,PHI13,MIL,PHI,6,2
20140410,SFO03,ARI,SFN,6,5
20140410,WAS11,MIA,WAS,1,7
20140411,ANA01,NYN,ANA,4,5
20140411,BAL12,TOR,BAL,2,0
20140411,CHI12,CLE,CHA,6,9
20140411,MIN04,KCA,MIN,1,10
20140411,NYC21,BOS,NYA,4,2
20140411,SEA03,OAK,SEA,4,6
20140411,ARL02,HOU,TEX,0,1
20140411,PHO01,LAN,ARI,6,0
20140411,ATL02,WAS,ATL,6,7
20140411,CIN09,TBA,CIN,2,1
20140411,MIL06,PIT,MIL,2,4
20140411,PHI13,MIA,PHI,3,6
20140411,SAN02,DET,SDN,0,6
20140411,SFO03,COL,SFN,5,6
20140411,STL10,CHN,SLN,6,3
20140412,ANA01,NYN,ANA,7,6
20140412,BAL12,TOR,BAL,1,2
20140412,CHI12,CLE,CHA,12,6
20140412,MIN04,KCA,MIN,1,7
20140412,NYC21,BOS,NYA,4,7
20140412,SEA03,OAK,SEA,3,1
20140412,ARL02,HOU,TEX,6,5
20140412,PHO01,LAN,ARI,8,5
20140412,ATL02,WAS,ATL,3,6
20140412,CIN09,TBA,CIN,1,0
20140412,MIL06,PIT,MIL,2,3
20140412,PHI13,MIA,PHI,4,5
20140412,SAN02,DET,SDN,6,2
20140412,SFO03,COL,SFN,1,0
20140412,STL10,CHN,SLN,4,10
20140413,ANA01,NYN,ANA,2,14
20140413,BAL12,TOR,BAL,11,3
20140413,CHI12,CLE,CHA,3,4
20140413,MIN04,KCA,MIN,3,4
20140413,NYC21,BOS,NYA,2,3
20140413,SEA03,OAK,SEA,3,0
20140413,ARL02,HOU,TEX,0,1
20140413,PHO01,LAN,ARI,8,6
20140413,ATL02,WAS,ATL,2,10
20140413,CIN09,TBA,CIN,4,12
20140413,MIL06,PIT,MIL,1,4
20140413,PHI13,MIA,PHI,3,4
20140413,SAN02,DET,SDN,1,5
20140413,SFO03,COL,SFN,4,5
20140413,STL10,CHN,SLN,4,6
20140414,ANA01,OAK,ANA,3,2
20140414,BAL12,TBA,BAL,1,7
20140414,ARL02,SEA,TEX,7,1
20140414,PHO01,NYN,ARI,7,3
20140414,CIN09,PIT,CIN,8,7
20140414,MIA02,WAS,MIA,9,2
20140414,MIL06,SLN,MIL,4,0
20140414,PHI13,ATL,PHI,9,6
20140414,SAN02,COL,SDN,4,5
20140415,ANA01,OAK,ANA,10,9
20140415,CHI12,BOS,CHA,1,2
20140415,HOU03,KCA,HOU,4,2
20140415,MIN04,TOR,MIN,9,3
20140415,ARL02,SEA,TEX,0,5
20140415,PHO01,NYN,ARI,9,0
20140415,CIN09,PIT,CIN,5,7
20140415,MIA02,WAS,MIA,2,11
20140415,MIL06,SLN,MIL,6,1
20140415,SAN02,COL,SDN,3,2
20140415,SFO03,LAN,SFN,2,3
20140416,ANA01,OAK,ANA,4,5
20140416,BAL12,TBA,BAL,0,3
20140416,CHI12,BOS,CHA,6,4
20140416,DET05,CLE,DET,3,2
20140416,HOU03,KCA,HOU,6,4
20140416,NYC21,CHN,NYA,0,3
20140416,NYC21,CHN,NYA,0,2
20140416,ARL02,SEA,TEX,2,3
20140416,PHO01,NYN,ARI,5,2
20140416,CIN09,PIT,CIN,0,4
20140416,MIA02,WAS,MIA,6,3
20140416,MIL06,SLN,MIL,1,5
20140416,PHI13,ATL,PHI,1,0
20140416,SAN02,COL,SDN,2,4
20140416,SFO03,LAN,SFN,1,2
20140417,CHI12,BOS,CHA,3,1
20140417,DET05,CLE,DET,5,7
20140417,HOU03,KCA,HOU,5,1
20140417,MIN04,TOR,MIN,0,7
20140417,MIN04,TOR,MIN,5,9
20140417,STP01,NYA,TBA,10,2
20140417,ARL02,SEA,TEX,6,8
20140417,PHI13,ATL,PHI,0,1
20140417,PIT08,MIL,PIT,2,11
20140417,SAN02,COL,SDN,3,1
20140417,SFO03,LAN,SFN,2,1
20140417,WAS11,SLN,WAS,8,0
20140418,BOS07,BAL,BOS,8,4
20140418,CLE08,TOR,CLE,3,2
20140418,DET05,ANA,DET,11,6
20140418,KAN06,MIN,KCA,0,5
20140418,OAK01,HOU,OAK,3,11
20140418,STP01,NYA,TBA,5,11
20140418,ARL02,CHA,TEX,0,12
20140418,CHI11,CIN,CHN,4,1
20140418,DEN02,PHI,COL,1,12
20140418,LOS03,ARI,LAN,4,2
20140418,MIA02,SEA,MIA,4,8
