ParkID,State,City,Park Name,First,Last
AXC01,Alabama,Alexander City,(unknown),1948,1949
ANN01,Alabama,Anniston,(unknown),1940,1941
BIR01,Alabama,Birmingham,Rickwood Field,1927,2024
DCA01,Alabama,Decatur,Legion Field,1949,1949
DOT01,Alabama,Dothan,Wiregrass Stadium,1948,1948
GAD01,Alabama,Gadsden,(unknown),1940,1946
HUN01,Alabama,Huntsville,Lincoln Park,1946,1948
LEE01,Alabama,Leeds,(unknown),1938,1938
MOB01,Alabama,Mobile,(unknown),1949,1949
MTG01,Alabama,Montgomery,Cramton Bowl,1939,1949
OZA01,Alabama,Ozark,(unknown),1949,1949
SEL01,Alabama,Selma,Rowell Field,1939,1939
TUS01,Alabama,Tuscaloosa,Alberta Park,1948,1949
,,,,,
PHO01,Arizona,Phoenix,Chase Field,1998,2024
,,,,,
ELD01,Arkansas,El Dorado,(unknown),1940,1940
FTS01,Arkansas,Fort Smith,(unknown),1948,1948
HEL01,Arkansas,Helena,(unknown),1949,1949
HSP01,Arkansas,Hot Springs,(unknown),1949,1949
JON01,Arkansas,Jonesboro,(unknown),1941,1949
LRK01,Arkansas,Little Rock,Crump Park,1938,1939
LRK02,Arkansas,Little Rock,Travelers Field,1938,1949
MRA01,Arkansas,Marianna,(unknown),1938,1938
PBL01,Arkansas,Pine Bluff,(unknown),1940,1942
,,,,,
ANA01,California,Anaheim,Angel (Anaheim) Stadium,1966,2024
BAK01,California,Bakersfield,Sam Lynn Park,1946,1946
LGB01,California,Long Beach,Recreation Park,1943,1943
LOS03,California,Los Angeles,Dodger Stadium,1962,2024
LOS04,California,Los Angeles,Gilmore Field,1939,1943
LOS01,California,Los Angeles,Memorial Coliseum,1958,1961
LOS05,California,Los Angeles,White Sox Park,1925,1944
LOS02,California,Los Angeles,Wrigley Field,1930,1961
OAK01,California,Oakland,Oakland-Alameda Coliseum,1968,2024
OAK02,California,Oakland,Oaks Park,1947,1947
SAN03,California,San Diego,Lane Field,1942,1948
SAN02,California,San Diego,Petco Park,2004,2024
SAN01,California,San Diego,Qualcomm Stadium,1969,2003
SFO02,California,San Francisco,Candlestick Park,1960,1999
SFO03,California,San Francisco,Oracle Park,2000,2024
SFO01,California,San Francisco,Seals Stadium,1944,1959
,,,,,
DEN02,Colorado,Denver,Coors Field,1995,2024
DEN03,Colorado,Denver,Merchants Park,1936,1948
DEN01,Colorado,Denver,Mile High Stadium,1993,1994
,,,,,
BRI01,Connecticut,Bridgeport,Candlelite Stadium,1940,1949
HAR02,Connecticut,Hartford,Bulkeley Stadium,1940,1942
STA01,Connecticut,Stamford,Mitchell Field,1947,1947
,,,,,
WIL03,Delaware,Wilmington,Harlan Field,1921,1926
WIL08,Delaware,Wilmington,Pennsy Field,1939,1939
WIL04,Delaware,Wilmington,Wilmington Park,1937,1949
,,,,,
WAS07,D.C.,Washington,American League Park I,1901,1903
WAS08,D.C.,Washington,American League Park II,1904,1910
WAS09,D.C.,Washington,Griffith Stadium,1911,1961
WAS11,D.C.,Washington,Nationals Park,2008,2024
WAS10,D.C.,Washington,RFK Stadium,1962,2007
,,,,,
DTB01,Florida,Daytona Beach,Cypress Street Park,1938,1938
DUN01,Florida,Dunedin,TD Ballpark,2021,2021
JKV01,Florida,Jacksonville,Red Cap Stadium,1937,1941
LBV01,Florida,Lake Buena Vista,Disney Ballpark,2007,2008
MIA02,Florida,Miami,Marlins Park,2012,2024
MIA01,Florida,Miami,Sun Life Stadium,1993,2011
ORL01,Florida,Orlando,(unknown),1939,1941
PAL01,Florida,Palatka,(unknown),1939,1939
STP01,Florida,St. Petersburg,Tropicana Field,1998,2024
TAM01,Florida,Tampa,Plant Field,1941,1941
,,,,,
ALB03,Georgia,Albany,(unknown),1937,1937
ATL01,Georgia,Atlanta,Atlanta-Fulton County,1966,1996
ATL06,Georgia,Atlanta,Booker T. Washington,1938,1938
ATL05,Georgia,Atlanta,Harper Field,1940,1946
ATL04,Georgia,Atlanta,Ponce de Leon Park,1937,1949
ATL03,Georgia,Atlanta,Truist Park,2017,2024
ATL02,Georgia,Atlanta,Turner Field,1997,2016
COL06,Georgia,Columbus,Golden Park,1949,1949
ELB01,Georgia,Elberton,(unknown),1938,1938
GRI01,Georgia,Griffin,(unknown),1939,1939
MAC01,Georgia,Macon,Luther Williams Park,1938,1941
,,,,,
HON01,Hawai'i,Honolulu,Aloha Stadium,1997,1997
,,,,,
BEL01,Illinois,Belleville,Athletic Field,1937,1949
CAI01,Illinois,Cairo,(unknown),1939,1949
CAN04,Illinois,Canton,(unknown),1943,1943
CEN01,Illinois,Centralia,Fans Field,1948,1949
CHI10,Illinois,Chicago,Comiskey Park I,1910,1990
CHI12,Illinois,Chicago,Guaranteed Rate Field,1991,2024
CHI15,Illinois,Chicago,Mills Stadium,1934,1934
CHI16,Illinois,Chicago,Shrewbridge Field,1938,1938
CHI09,Illinois,Chicago,South Side Park III,1901,1940
CHI08,Illinois,Chicago,West Side Grounds,1901,1915
CHI11,Illinois,Chicago,Wrigley Field,1914,2024
DAN01,Illinois,Danville,Garfield Stadium,1941,1949
DCT02,Illinois,Decatur,Fans Field,1937,1949
DCT01,Illinois,Decatur,Staley Field,1921,1921
GLK01,Illinois,Great Lakes,Naval Training,1943,1943
KEW01,Illinois,Kewanee,Northeast Park,1943,1943
LSL01,Illinois,LaSalle,(unknown),1944,1944
MAT01,Illinois,Mattoon,Indians Park,1949,1949
MET01,Illinois,Metropolis,(unknown),1939,1939
MOU01,Illinois,Mounds,(unknown),1938,1939
MTV01,Illinois,Mt. Vernon,Veterans Park,1949,1949
PEO01,Illinois,Peoria,(unknown),1937,1937
PER01,Illinois,Peru,Washington Park,1941,1943
RCK02,Illinois,Rockford,Rox Park,1949,1949
SPA01,Illinois,Sparta,(unknown),1940,1940
SPR07,Illinois,Springfield,Fitzpatrick Stadium,1949,1949
SPR03,Illinois,Springfield,Lanphier Park,1939,1948
SPR02,Illinois,Springfield,Reservoir Park,1929,1929
URB01,Illinois,Urbana,Illinois Field,1945,1945
WFI01,Illinois,West Frankfort,Memorial Stadium,1948,1949
,,,,,
EVA01,Indiana,Evansville,Bosse Field,1939,1939
FOR05,Indiana,Fort Wayne,Dwenger Park,1944,1944
FOR03,Indiana,Fort Wayne,Jailhouse Flats,1902,1902
FOR04,Indiana,Fort Wayne,State School Diamond,1940,1943
GAR01,Indiana,Gary,(unknown),1939,1939
HAM01,Indiana,Hammond,Turner Field,1941,1944
IND07,Indiana,Indianapolis,Federal League Park,1914,1914
IND09,Indiana,Indianapolis,Northwestern Park,1915,1915
IND10,Indiana,Indianapolis,Victory Field,1937,1949
IND11,Indiana,Indianapolis,Washington Park,1921,1921
KOK01,Indiana,Kokomo,Athletic Park,1922,1922
KOK02,Indiana,Kokomo,Highland Park,1943,1949
MUN02,Indiana,Muncie,McCullough Park,1942,1949
RCI01,Indiana,Richmond,Municipal Stadium,1942,1949
SBD01,Indiana,South Bend,Lippincott Park,1937,1946
TER01,Indiana,Terre Haute,(unknown),1941,1944
,,,,,
CED01,Iowa,Cedar Rapid,Hill Park,1937,1949
CBI01,Iowa,Council Bluffs,American Legion Park,1946,1948
DAV02,Iowa,Davenport,Milan Park,1947,1947
DAV01,Iowa,Davenport,Municipal Stadium,1936,1949
DES01,Iowa,Des Moines,League Park,1936,1940
DES02,Iowa,Des Moines,Pioneer Memorial Park,1947,1949
DYE01,Iowa,Dyersville,Field of Dreams,2021,2022
FDI01,Iowa,Fort Dodge,(unknown),1948,1948
SCI01,Iowa,Sioux City,Soos Park,1947,1949
SCI02,Iowa,Sioux City,Yards Park,1939,1939
,,,,,
ATC01,Kansas,Atchison,(unknown),1949,1949
CHN01,Kansas,Chanute,(unknown),1937,1938
JNC01,Kansas,Junction City,Rathert Field,1937,1941
KCK01,Kansas,Kansas City,Ward Field,1938,1938
MAN01,Kansas,Manhattan,Griffith Field,1937,1939
MYV01,Kansas,Marysville,Marysville Ball Park,1937,1937
PTK01,Kansas,Pittsburg,(unknown),1946,1949
TOP01,Kansas,Topeka,Owl Park,1939,1942
WIC01,Kansas,Wichita,Lawrence Field,1937,1949
,,,,,
COV02,Kentucky,Covington,Covington Park,1940,1940
FUL01,Kentucky,Fulton,Fairfield Kitty League,1939,1939
HOP01,Kentucky,Hopkinsville,(unknown),1943,1943
LEX01,Kentucky,Lexington,Blue Grass Field,1948,1949
LOU05,Kentucky,Louisville,Parkway Field,1937,1949
OWE01,Kentucky,Owensboro,Miller Field,1940,1941
,,,,,
ALE01,Louisiana,Alexandria,(unknown),1937,1937
BAT01,Louisiana,Baton Rouge,(unknown),1937,1949
BOG01,Louisiana,Bogalusa,(unknown),1942,1942
HML01,Louisiana,Hammond,(unknown),1941,1941
HOU05,Louisiana,Houma,(unknown),1940,1940
LKC01,Louisiana,Lake Charles,(unknown),1941,1941
MNL01,Louisiana,Monroe,Casino Park,1937,1949
NOL02,Louisiana,New Orleans,Lincoln Park,1937,1937
NOL01,Louisiana,New Orleans,Pelican Stadium,1937,1949
SHR01,Louisiana,Shreveport,Texas League Park,1941,1949
TAL01,Louisiana,Tallulah,Fair Grounds Park,1937,1937
,,,,,
,,,,,
,,,,,
BAL14,Maryland,Baltimore,Bugle Field,1932,1949
BAL13,Maryland,Baltimore,Maryland Park,1924,1931
BAL11,Maryland,Baltimore,Memorial Stadium,1954,1991
BAL12,Maryland,Baltimore,Camden Yards,1992,2024
BAL09,Maryland,Baltimore,Oriole Park IV,1901,1940
BAL10,Maryland,Baltimore,Terrapin Park,1914,1942
CAM03,Maryland,Cambridge,(unknown),1940,1940
CUM01,Maryland,Cumberland,(unknown),1937,1938
EAS01,Maryland,Easton,Federal Park,1939,1939
HAG01,Maryland,Hagerstown,Municipal Stadium,1946,1946
NOR04,Maryland,Norbeck,Norbeck Park,1941,1941
SBY01,Maryland,Salisbury,Memorial Field,1939,1946
,,,,,
BOS08,Massachusetts,Boston,Braves Field,1915,1952
BOS07,Massachusetts,Boston,Fenway Park,1912,2024
BOS06,Massachusetts,Boston,Huntington Avenue,1901,1911
BOS05,Massachusetts,Boston,South End Grounds III,1901,1914
SPR06,Massachusetts,Springfield,Pynchon Park,1940,1940
,,,,,
BCK01,Michigan,Battle Creek,Bailey Park,1949,1949
BHM01,Michigan,Benton Harbor,Colony Park,1947,1947
DET02,Michigan,Detroit,Bennett Park,1901,1911
DET03,Michigan,Detroit,Burns Park,1901,1902
DET05,Michigan,Detroit,Comerica Park,2000,2024
DET08,Michigan,Detroit,Dequindre Park,1948,1948
DET06,Michigan,Detroit,Hamtramck Stadium,1930,1937
DET07,Michigan,Detroit,Mack Park,1921,1928
DET04,Michigan,Detroit,Tiger Stadium,1912,1999
FLI01,Michigan,Flint,Atwood Stadium,1945,1947
GRA02,Michigan,Grand Rapids,Bigelow Field,1942,1946
GRA03,Michigan,Grand Rapids,Lamar Park,1944,1944
GRA01,Michigan,Grand Rapids,Ramona Park,1903,1903
,,,,,
MIN02,Minnesota,Bloomington,Metropolitan Stadium,1961,1981
MIN03,Minnesota,Minneapolis,HHH Metrodome,1982,2009
MIN05,Minnesota,Minneapolis,Nicollet Park,1943,1943
MIN04,Minnesota,Minneapolis,Target Field,2010,2024
STC01,Minnesota,St. Cloud,Rox Park,1947,1947
STP02,Minnesota,St. Paul,Lexington Park,1938,1949
WIN02,Minnesota,Winona,Gabrych Park,1949,1949
,,,,,
CLA01,Mississippi,Clarksdale,(unknown),1938,1948
COL07,Mississippi,Columbus,(unknown),1949,1949
GRE01,Mississippi,Greenville,Sportsmans Park,1939,1949
GRE02,Mississippi,Greenwood,(unknown),1948,1949
JAC01,Mississippi,Jackson,League Park,1937,1949
TUP01,Mississippi,Tupelo,(unknown),1949,1949
VCK01,Mississippi,Vicksburg,(unknown),1949,1949
,,,,,
CLC01,Missouri,Chillicothe,Simpson Park,1949,1949
CMB01,Missouri,Columbia,(unknown),1937,1937
HAN01,Missouri,Hannibal,(unknown),1949,1949
JOP01,Missouri,Joplin,Childress Field,1933,1933
KAN02,Missouri,Kansas City,Association Park,1920,1921
KAN04,Missouri,Kansas City,Gordon and Koppel Field,1914,1915
KAN06,Missouri,Kansas City,Kauffman Stadium,1973,2024
KAN05,Missouri,Kansas City,Municipal Stadium,1923,1972
SPR05,Missouri,Springfield,White City Park,1937,1941
STJ01,Missouri,St. Joseph,City Stadium,1939,1949
STL09,Missouri,St. Louis,Busch Stadium II,1966,2005
STL10,Missouri,St. Louis,Busch Stadium III,2006,2024
STL11,Missouri,St. Louis,Giants Park,1920,1921
STL08,Missouri,St. Louis,Handlan's Park,1914,1915
STL13,Missouri,St. Louis,National Park,1939,1939
STL05,Missouri,St. Louis,Robison Field,1901,1920
STL06,Missouri,St. Louis,Sportsman's Park II,1902,1908
STL07,Missouri,St. Louis,Sportsman's Park III,1909,1966
STL12,Missouri,St. Louis,Stars Park,1925,1937
UNI02,Missouri,Unionville,(unknown),1937,1937
,,,,,
ARN01,Nebraska,Arlington,Fairgrounds Park,1947,1949
BEA03,Nebraska,Beatrice,Athletic Park,1949,1949
FLC01,Nebraska,Falls City,City Park,1949,1949
GIN01,Nebraska,Grand Island,Municipal Ballpark,1949,1949
HAS01,Nebraska,Hastings,Duncan Field,1949,1949
KEA01,Nebraska,Kearney,Memorial Diamond,1949,1949
LIN02,Nebraska,Lincoln,Landis Yard,1939,1939
LIN01,Nebraska,Lincoln,Sherman Field,1938,1947
NFN01,Nebraska,Norfolk,Athletic Park,1947,1947
OMA02,Nebraska,Omaha,League Park,1933,1933
OMA03,Nebraska,Omaha,Omaha Municipal Stadium,1949,1949
OMA01,Nebraska,Omaha,TD Ameritrade Park,2019,2019
OXF01,Nebraska,Oxford,Rodeo Grounds,1946,1949
SUP01,Nebraska,Superior,Lincoln Park Field,1949,1949
WYM01,Nebraska,Wymore,Arbor State Park,1949,1949
,,,,,
LAS01,Nevada,Las Vegas,Cashman Field,1996,1996
,,,,,
ACY01,New Jersey,Atlantic City,Inlet Park,1904,1927
ACY02,New Jersey,Atlantic City,New York Avenue Field,1940,1948
BEL02,New Jersey,Belmar,Belmar Memorial Field,1937,1942
BRA01,New Jersey,Bradley Beach,Bradley Beach Field,1926,1926
CAM01,New Jersey,Camden,3rd St. & Erie Ave,1921,1921
CAM02,New Jersey,Camden,Twelfth and Federal St,1903,1942
FAI01,New Jersey,Fairview,Fairview Park,1931,1931
HAR01,New Jersey,Harrison,Harrison Field,1915,1915
JER02,New Jersey,Jersey City,Roosevelt Stadium,1941,1957
MTH01,New Jersey,Mt. Holly,(unknown),1928,1928
NWK04,New Jersey,Newark,Ruppert Stadium,1937,1949
NWK01,New Jersey,Newark,Wiedenmeyer's Park,1904,1904
PAR01,New Jersey,Parlin,(unknown),1937,1937
PAT01,New Jersey,Patterson,Hinchliffe Stadium,1937,1943
RED01,New Jersey,Red Bank,Pirates Park,1938,1941
TRE01,New Jersey,Trenton,Dunn Field,1937,1949
TRE02,New Jersey,Trenton,YMCA Field,1903,1903
WNY02,New Jersey,West New York,Miller Stadium,1937,1937
WNY01,New Jersey,West New York,Field Club Grounds,1937,1937
,,,,,
ALB02,New York,Albany,Hawkins Stadium,1940,1948
BEL03,New York,Belmont,(unknown),1941,1941
NYC23,New York,Brooklyn,Dexter Park,1934,1947
NYC15,New York,Brooklyn,Ebbets Field,1913,1957
NYC28,New York,Brooklyn,Erasmus Field,1937,1940
NYC12,New York,Brooklyn,Washington Park III,1901,1912
NYC19,New York,Brooklyn,Washington Park IV,1914,1915
BUF04,New York,Buffalo,Intl Fair Assoc Grounds,1914,1915
BUF06,New York,Buffalo,Offermann Stadium,1937,1949
BUF05,New York,Buffalo,Sahlen Field,2020,2021
FRE01,New York,Freeport,Freeport Stadium,1937,1937
